Año,Distribuidor,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2019,EDECHI,269655.51,256111.47,245287.47,198890.86,277119.82,294115.28,310180.86,293662.95,246051.27,236229.27,300397.6,265211.91
2020,EDECHI,259934.93,292662.97,289679.97,245022.92,227402.84,236602.84,410898.91,396504.34,381292.17,389398.48,450949.57,433061.43
2021,EDECHI,351365.87,296337.24,296337.24,398683.14,499795.74,476730.85,462257.86,500228.5,450684.94,447860.37,364470.73,338649.65
2022,EDECHI,70036.38,69046.69,73343.76,74585.9,72168.86,70124.81,69688.01,69000.91,72430.85,71336.29,69431.01,70540.87
2023,EDECHI,182925.2,190387.16,250490.98,237966.43,223316.66,307568.41,247321.58,256409.77,324817.05,0.0,0.0,0.0
2024,EDECHI,281777.0,225295.0,282710.0,165091.0,240678.0,356741.0,458758.0,468359.0,415090.0,432107.0,508447.0,511931.0
2025,EDECHI,391742.86,344876.79,250442.28,274154.4,399511.26,354898.32,431796.19,407657.35,329037.25,361207.73,313795.54,346431.15
2019,EDEMET,583120.66,556931.67,541777.31,610242.75,555436.9,238002.61,461019.91,458425.04,491282.69,475111.69,458208.93,537100.44
2020,EDEMET,654987.15,638584.89,635137.89,655767.53,677320.43,677820.43,388790.41,428306.38,430345.87,466963.29,418847.39,504093.61
2021,EDEMET,398296.32,448254.03,444991.37,454356.95,392078.37,352867.34,430009.78,407756.69,456860.5,546621.88,503068.63,536183.31
2022,EDEMET,278972.97,278079.62,292607.67,298436.97,300427.73,291514.01,289037.84,288029.44,294209.94,292029.83,288177.69,285616.57
2023,EDEMET,368866.25,385758.11,370330.88,363351.26,407846.26,388210.72,338015.6,336013.88,490343.74,0.0,0.0,0.0
2024,EDEMET,418491.0,417529.0,378498.0,355114.0,388154.0,390427.0,419962.0,390565.0,395853.0,479490.0,473064.0,439974.0
2025,EDEMET,420764.81,339059.43,349994.48,331328.82,384729.81,433307.6,449226.68,412115.31,417398.83,556988.8,474879.97,382659.91
2019,ENSA,33979.63,31247.23,29869.23,16882.0,20994.16,31403.82,33428.57,59080.78,7132.22,5927.22,20002.23,15329.8
2020,ENSA,10350.24,31862.74,31594.74,20352.99,32760.3,34660.3,87191.79,78407.04,49715.11,86856.39,51880.77,43162.29
2021,ENSA,36671.0,63923.21,56175.05,68015.42,53377.57,98957.08,85261.32,59492.05,43790.19,29655.15,68107.52,124287.13
2022,ENSA,248484.44,241942.94,245460.42,261669.17,262535.42,252361.39,252123.73,255272.87,251293.53,250601.28,241522.63,254556.27
2023,ENSA,358296.86,292929.08,409074.26,388620.55,415504.26,317565.38,338102.95,335928.82,219003.18,0.0,0.0,0.0
2024,ENSA,340769.0,308395.0,376226.0,482289.0,453138.0,258565.0,264253.0,312412.0,327368.0,235313.0,104740.0,171594.0
2025,ENSA,241172.39,350425.36,397302.64,430997.98,329583.97,328111.19,281569.71,314823.43,365416.58,269331.68,309336.96,364332.58
